FILIAL;DATA;COD COMPRADOR;NOME COMPRADOR;TOTAL_DIA;RENT_DIA;GERAL_DIA;AVARIAS_DIA;AJUSTES_DIA;PREJUIZO_DIA;TOTAL_MES;RENT_MES;GERAL_MES;AVARIAS_MES;AJUSTES_MES;PREJUIZO_MES;TOTAL_PROJ;AVARIAS_PROJ;AJUSTES_PROJ;PREJUIZO_PROJ
35;28/05/2017;1;WHISKYS,ENERG E FILTRADOS     ;2.509,36;6,95;1,02;0;0;0;159.671,46;6,03;0,99;118,98;-14,7;133,68;177.412,73;132,19;-16,33;148,53
35;28/05/2017;2;BEBIDAS                       ;15.147,26;4,81;6,18;0;0;0;852.185,55;3,59;5,29;2.501,75;-7.216,00;9.717,75;946.872,83;2.779,72;-8.017,77;10.797,50
35;28/05/2017;3;DESC.,EMB. E AGUAS            ;4.886,84;5,76;1,99;0;0;0;389.014,34;7,77;2,41;797,85;131,8;666,04;432.238,15;886,5;146,45;740,04
35;28/05/2017;4;REFRIGERANTES                 ;12.843,73;2,41;5,24;0;0;0;637.642,41;3,11;3,96;1.708,31;-1.103,72;2.812,03;708.491,56;1.898,12;-1.226,36;3.124,48
35;28/05/2017;5;SUCOS EM PO,PRONTOS           ;6.760,53;5,49;2,75;0;8,83;-8,83;383.638,32;8,12;2,38;383,8;421,06;-37,26;426.264,79;426,44;467,84;-41,4
35;28/05/2017;6;LIMPEZA                       ;13.210,49;6,94;5,39;0;12,93;-12,93;943.388,10;6,49;5,85;2.326,82;-2.466,80;4.793,62;1.048.209,00;2.585,35;-2.740,89;5.326,25
35;28/05/2017;7;PERFUMARIA                    ;20.448,60;9,23;8,34;0;147,48;-147,48;1.228.827,69;8,78;7,63;3.789,66;2.816,89;972,76;1.365.364,09;4.210,73;3.129,88;1.080,84
35;28/05/2017;8;ROLL-ON E AEROSOL             ;1.931,35;10,13;0,78;0;0;0;125.331,17;9,61;0,77;73,45;-17,58;91,03;139.256,85;81,61;-19,53;101,14
35;28/05/2017;9;BISCOITOS                     ;7.831,92;9,47;3,19;0;0;0;563.130,12;8,56;3,49;486,62;1.195,07;-708,45;625.700,13;540,68;1.327,85;-787,16
35;28/05/2017;10;DOCES,SALGADINHOS E CHOCOLATES;8.905,32;7,29;3,63;0;22,42;-22,42;617.990,52;7,98;3,83;4.699,47;-850,62;5.550,09;686.656,13;5.221,63;-945,14;6.166,77
35;28/05/2017;11;MATINAIS                      ;13.162,02;7,76;5,37;0;11,95;-11,95;907.686,65;6,86;5,63;1.692,19;-2.888,47;4.580,66;1.008.540,72;1.880,21;-3.209,41;5.089,62
35;28/05/2017;12;CONSERVAS                     ;12.896,66;8,16;5,26;0;25,24;-25,24;932.121,44;8,39;5,78;1.517,51;-4.606,73;6.124,24;1.035.690,48;1.686,12;-5.118,59;6.804,71
35;28/05/2017;13;FARINACEOS                    ;3.307,68;9,21;1,35;0;0;0;230.192,42;8,39;1,42;1.059,99;-3.146,85;4.206,84;255.769,35;1.177,76;-3.496,50;4.674,27
35;28/05/2017;14;BASICO                        ;14.658,67;10,92;5,98;0;12,07;-12,07;1.194.688,57;8,26;7,41;3.305,71;-5.730,20;9.035,91;1.327.431,74;3.673,01;-6.366,89;10.039,90
35;28/05/2017;15;MACARRAO E MOLHOS             ;5.532,61;8,24;2,25;0;19,99;-19,99;373.670,14;8,08;2,32;805,33;-7.019,69;7.825,02;415.189,04;894,81;-7.799,65;8.694,47
35;28/05/2017;16;PANIFICACAO,FARINHA DE TRIGO  ;2.841,54;3,67;1,15;0;0;0;221.711,73;4,3;1,37;1.668,02;-1.595,40;3.263,42;246.346,36;1.853,35;-1.772,67;3.626,02
35;28/05/2017;17;G.U.                          ;8.360,04;6,49;3,41;0;0;0;637.657,23;5,93;3,96;1.556,26;-765,54;2.321,80;708.508,03;1.729,17;-850,6;2.579,78
35;28/05/2017;18;PAES E BOLOS                  ;3.241,58;10,52;1,32;0;8,36;-8,36;198.436,56;9,97;1,23;65,79;-913,21;979;220.485,06;73,09;-1.014,68;1.087,78
35;28/05/2017;19;CHECK-STAND                   ;2.855,32;6,08;1,16;0;0;0;188.937,79;6,06;1,17;371,44;-866;1.237,44;209.930,87;412,71;-962,22;1.374,93
35;28/05/2017;20;CAMPING,ART.CHURRASCO         ;128,9;8,94;0,05;0;0;0;16.772,57;-2,72;0,1;13,25;884,55;-871,3;18.636,18;14,72;982,84;-968,11
35;28/05/2017;21;PEIXES                        ;1.451,06;9,79;0,59;0;0;0;91.226,44;9,58;0,56;109,78;63,06;46,71;101.362,71;121,97;70,06;51,9
35;28/05/2017;22;LEITE LONGA VIDA              ;10.708,76;4,28;4,37;0;2,43;-2,43;578.303,79;5,98;3,59;139,88;-2.716,65;2.856,53;642.559,76;155,42;-3.018,50;3.173,92
35;28/05/2017;23;CARNES BOVINAS                ;6.092,83;5,24;2,48;0;0;0;285.852,95;2,06;1,77;4.903,63;-3.778,52;8.682,15;317.614,38;5.448,47;-4.198,36;9.646,84
35;28/05/2017;24;IOGURTES                      ;3.936,25;10,37;1,6;0;7,52;-7,52;231.528,54;4,92;1,43;12.079,40;3.490,60;8.588,79;257.253,93;13.421,55;3.878,44;9.543,10
35;28/05/2017;25;MARG,MANTEIGAS E GOR VEGETAL  ;3.338,67;8,5;1,36;0;0;0;274.216,08;6,76;1,7;585,34;-786,8;1.372,14;304.684,53;650,37;-874,22;1.524,60
35;28/05/2017;26;SALGADOS                      ;1.151,45;9,34;0,46;0;0;0;51.338,70;9,16;0,31;107,81;388,73;-280,92;57.042,99;119,78;431,93;-312,14
35;28/05/2017;27;QUEIJOS E REQUEIJOES          ;7.058,41;6,39;2,88;0;0,91;-0,91;463.141,69;6,02;2,87;758;-4.234,67;4.992,67;514.601,87;842,22;-4.705,19;5.547,41
35;28/05/2017;28;VEGETAIS CONG.                ;670,38;11,15;0,27;0;0;0;79.105,41;8,66;0,49;366,55;-253,46;620,01;87.894,90;407,27;-281,62;688,9
35;28/05/2017;29;APRES. E PRESUNTO             ;2.013,06;0,47;0,82;0;0;0;142.133,80;3,31;0,88;317,41;-558,24;875,65;157.926,44;352,67;-620,27;972,95
35;28/05/2017;30;BACALHAU                      ;85,9;8,74;0,03;0;0;0;7.802,03;5,4;0,04;0;189,19;-189,19;8.668,92;0;210,21;-210,21
35;28/05/2017;31;EMBUTIDOS E CHARQUES          ;5.393,47;4,34;2,2;0;7,95;-7,95;538.644,49;3,04;3,34;260,54;-1.311,07;1.571,61;598.493,87;289,48;-1.456,74;1.746,23
35;28/05/2017;32;BACON                         ;787,7;7,26;0,32;0;0;0;107.614,52;3,03;0,66;544,75;62,77;481,97;119.571,68;605,27;69,75;535,52
35;28/05/2017;33;HAMBUG. E EMPANADOS           ;3.394,62;7,99;1,38;0;26,49;-26,49;217.974,69;8,05;1,35;415,74;205,73;210;242.194,09;461,93;228,58;233,34
35;28/05/2017;34;POLPA DE FRUTAS E SORVETES    ;716,84;12,9;0,29;0;0;0;21.098,72;14,31;0,13;397,17;-329,63;726,8;23.443,02;441,3;-366,26;807,56
35;28/05/2017;35;CORTE DE AVES/INTEIRAS        ;9.169,03;7,83;3,74;0;0;0;487.356,63;7,79;3,02;756,67;-351,96;1.108,63;541.507,36;840,74;-391,07;1.231,81
35;28/05/2017;36;LINGUICAS CONG.               ;5.242,33;5,93;2,13;0;0;0;348.225,64;3;2,16;72,66;175,94;-103,28;386.917,37;80,73;195,49;-114,76
35;28/05/2017;37;SALSICHAS CONG./ RESFRIADAS   ;1.113,95;-1,29;0,45;0;0;0;113.507,07;-6,56;0,7;427,61;-534,05;961,66;126.118,96;475,12;-593,39;1.068,51
35;28/05/2017;38;MASSAS FRESCAS E FERMENTOS    ;1.759,53;7,94;0,71;0;0;0;93.676,78;9;0,58;241,9;-683,48;925,38;104.085,31;268,77;-759,43;1.028,21
35;28/05/2017;39;SUINO / OVINO / CAPRINO       ;1.516,73;7,35;0,61;0;0;0;93.641,18;7,52;0,58;404,75;-501,02;905,77;104.045,75;449,72;-556,69;1.006,42
35;28/05/2017;40;FOLHAGENS                     ;1.034,00;-43,76;0,42;0;67,18;-67,18;45.916,87;0,34;0,28;3.053,65;-1.329,65;4.383,30;51.018,74;3.392,94;-1.477,39;4.870,33
35;28/05/2017;41;LEGUMES E VERDURAS            ;4.829,61;10,52;1,97;0;2;-2;299.258,61;6,06;1,85;15.581,29;-7.013,39;22.594,68;332.509,56;17.312,54;-7.792,65;25.105,20
35;28/05/2017;42;FRUTAS                        ;2.858,54;8;1,16;0;25,21;-25,21;149.922,97;3,28;0,93;11.789,79;4.347,56;7.442,22;166.581,07;13.099,76;4.830,62;8.269,13
35;28/05/2017;43;OVOS                          ;3.453,19;3,24;1,4;0;0;0;278.328,13;2,81;1,72;1.566,88;-2.180,53;3.747,41;309.253,47;1.740,97;-2.422,81;4.163,79
35;28/05/2017;44;PRODUTOS DE EPOCA (LOJA)      ;2,29;3,05;0;0;0;0;2.314,13;5,39;0,01;101,26;2,44;98,81;2.571,25;112,51;2,72;109,79
35;28/05/2017;45;PRODUTOS DE EPOCA (FRIOS)     ;0;0;0;0;0;0;624,89;6,73;0;0;0;0;694,32;0;0;0
35;28/05/2017;46;UTENSILIOS DOMESTICOS         ;2.346,08;10,84;0,95;0;14,08;-14,08;126.480,27;12,18;0,78;485,08;630,31;-145,23;140.533,63;538,97;700,35;-161,37
35;28/05/2017;47;AUTOMOTIVOS,ACESSORIOS        ;2.069,20;5,75;0,84;0;0;0;47.443,10;7,22;0,29;44,04;112,16;-68,12;52.714,55;48,93;124,62;-75,69
35;28/05/2017;48;BRINQUEDOS                    ;54,57;13,65;0,02;0;8,71;-8,71;3.239,13;2,71;0,02;0;-306,09;306,09;3.599,03;0;-340,11;340,11
35;28/05/2017;49;PAPELARIA                     ;46,29;9,76;0,01;0;1,72;-1,72;8.048,39;9,54;0,04;3,51;-836,37;839,88;8.942,65;3,9;-929,3;933,2
35;28/05/2017;50;RA€OES,ART PETSHOP.           ;668,1;12,72;0,27;0;12,83;-12,83;47.642,54;11,92;0,29;388,28;-51,62;439,9;52.936,15;431,42;-57,35;488,78
35;28/05/2017;51;LAMPADAS E FERRAMENTAS.       ;582,19;13,85;0,23;0;0;0;63.651,33;12,55;0,39;166,08;-43,36;209,44;70.723,69;184,53;-48,17;232,71
35;28/05/2017;999;SEM SETOR                     ;3,09;9,38;0;0;0;0;60,51;6,87;0;0;2,19;-2,19;67,23;0;2,43;-2,43
35;28/05/2017;9999;OUTROS                        ;0;0;0;0;0;0;0;0;0;437,26;-3.236,64;3.673,90;0;485,84;-3.596,27;4.082,11
;;;TOTAL GERAL;245.008,54;6,94;;0;446,3;-446,3;16.102.014,80;6,53;;85.448,91;-55.118,66;140.567,49;17.891.127,55;94.943,01;-61.242,96;156.186,13
